Id,Id2,Geography,Estimate; Total:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - No health insurance coverage,18+_MeansTestedInsurance,18+_NoInsurance,18+_MeansandNoInsurance
1500000US410170015001,4.1017E+11,"Block Group 1, Census Tract 15, Deschutes County, Oregon",799,0,0,0,16,0,110,0,0,16,110,126
1500000US410170015002,4.1017E+11,"Block Group 2, Census Tract 15, Deschutes County, Oregon",1519,11,0,185,27,0,81,11,0,49,266,315
1500000US410170015003,4.1017E+11,"Block Group 3, Census Tract 15, Deschutes County, Oregon",1268,77,0,273,89,0,117,0,0,166,390,556
1500000US410170015004,4.1017E+11,"Block Group 4, Census Tract 15, Deschutes County, Oregon",660,0,0,14,0,0,67,0,0,0,81,81
1500000US410170015005,4.1017E+11,"Block Group 5, Census Tract 15, Deschutes County, Oregon",1469,0,0,87,24,0,224,12,0,36,311,347
1500000US410170016001,4.1017E+11,"Block Group 1, Census Tract 16, Deschutes County, Oregon",943,99,0,58,51,27,60,0,0,177,118,295
1500000US410170016002,4.1017E+11,"Block Group 2, Census Tract 16, Deschutes County, Oregon",1716,28,0,143,8,19,81,45,0,100,224,324
1500000US410170016003,4.1017E+11,"Block Group 3, Census Tract 16, Deschutes County, Oregon",2691,124,0,333,116,38,224,15,0,293,557,850
1500000US410170017001,4.1017E+11,"Block Group 1, Census Tract 17, Deschutes County, Oregon",3038,78,0,158,34,67,367,32,0,211,525,736
1500000US410170017002,4.1017E+11,"Block Group 2, Census Tract 17, Deschutes County, Oregon",1908,84,0,92,126,19,261,0,0,229,353,582
1500000US410170017003,4.1017E+11,"Block Group 3, Census Tract 17, Deschutes County, Oregon",909,26,0,67,51,17,86,16,0,110,153,263
1500000US410170017004,4.1017E+11,"Block Group 4, Census Tract 17, Deschutes County, Oregon",2475,22,0,258,189,0,173,14,0,225,431,656
1500000US410170018001,4.1017E+11,"Block Group 1, Census Tract 18, Deschutes County, Oregon",1741,146,0,37,65,30,221,0,0,241,258,499
1500000US410170018002,4.1017E+11,"Block Group 2, Census Tract 18, Deschutes County, Oregon",2312,100,7,118,15,21,128,46,12,189,258,447
1500000US410170018003,4.1017E+11,"Block Group 3, Census Tract 18, Deschutes County, Oregon",1968,11,0,228,150,0,128,14,0,175,356,531
1500000US410170018004,4.1017E+11,"Block Group 4, Census Tract 18, Deschutes County, Oregon",1428,72,0,247,134,0,91,19,0,225,338,563
1500000US410170019011,4.1017E+11,"Block Group 1, Census Tract 19.01, Deschutes County, Oregon",1907,13,0,0,54,0,95,11,0,78,95,173
1500000US410170019021,4.1017E+11,"Block Group 1, Census Tract 19.02, Deschutes County, Oregon",5655,136,0,281,312,9,253,34,0,491,534,1025
1500000US410170019022,4.1017E+11,"Block Group 2, Census Tract 19.02, Deschutes County, Oregon",2099,38,0,213,24,0,40,0,0,62,253,315
1500000US410170019023,4.1017E+11,"Block Group 3, Census Tract 19.02, Deschutes County, Oregon",780,12,0,71,0,0,45,9,0,21,116,137
1500000US410170019024,4.1017E+11,"Block Group 4, Census Tract 19.02, Deschutes County, Oregon",888,0,0,0,0,0,0,0,0,0,0,0
1500000US410170020001,4.1017E+11,"Block Group 1, Census Tract 20, Deschutes County, Oregon",1082,0,0,32,0,0,28,0,0,0,60,60
1500000US410170020002,4.1017E+11,"Block Group 2, Census Tract 20, Deschutes County, Oregon",2078,0,0,213,8,0,132,3,0,11,345,356
1500000US410170020003,4.1017E+11,"Block Group 3, Census Tract 20, Deschutes County, Oregon",3085,227,9,276,75,14,117,68,0,393,393,786
1500000US410170020004,4.1017E+11,"Block Group 4, Census Tract 20, Deschutes County, Oregon",1328,33,0,161,44,0,65,24,0,101,226,327
1500000US410170021001,4.1017E+11,"Block Group 1, Census Tract 21, Deschutes County, Oregon",1959,0,33,27,0,0,272,0,0,33,299,332
1500000US410170021002,4.1017E+11,"Block Group 2, Census Tract 21, Deschutes County, Oregon",3240,48,0,448,538,0,184,0,0,586,632,1218
1500000US410170021003,4.1017E+11,"Block Group 3, Census Tract 21, Deschutes County, Oregon",4646,21,0,91,89,23,145,0,0,133,236,369
1500000US410170021004,4.1017E+11,"Block Group 4, Census Tract 21, Deschutes County, Oregon",1677,148,0,100,14,0,25,0,0,162,125,287
